feature,fold_count,selected_count,mean_abs_coefficient,selection_rate,horizon_months,model_name,feature_block
bvps_growth_ytd,29,27,0.030781663926960016,0.9310344827586207,6,elastic_net_bridge,bvps_lags
month_of_year,29,26,0.014766534070708007,0.896551724137931,6,elastic_net_bridge,bvps_lags
dividend_season_flag,29,26,0.005733009343234738,0.896551724137931,6,elastic_net_bridge,bvps_lags
bvps_growth_3m,29,21,0.006529350637068229,0.7241379310344828,6,elastic_net_bridge,bvps_lags
bvps_yoy_dollar_change,29,20,0.01786808642466877,0.6896551724137931,6,elastic_net_bridge,bvps_lags
bvps_growth_1m,29,18,0.0032052105659181934,0.6206896551724138,6,elastic_net_bridge,bvps_lags
q4_flag,29,17,0.0078866225106973,0.5862068965517241,6,elastic_net_bridge,bvps_lags
pgr_premium_to_surplus,29,29,0.0015498638321353995,1.0,6,ridge_bridge,accounting_core
monthly_combined_ratio_delta,29,29,0.0014500553799542632,1.0,6,ridge_bridge,accounting_core
pif_growth_yoy,29,29,0.0013442061822136271,1.0,6,ridge_bridge,accounting_core
buyback_yield,29,29,0.001019235944006249,1.0,6,ridge_bridge,accounting_core
combined_ratio_ttm,29,29,0.0010158845761620492,1.0,6,ridge_bridge,accounting_core
underwriting_margin_ttm,29,29,0.0009936933980451246,1.0,6,ridge_bridge,accounting_core
underwriting_income_growth_yoy,29,29,0.000946864965103076,1.0,6,ridge_bridge,accounting_core
unrealized_gain_pct_equity,29,29,0.0009445264350767972,1.0,6,ridge_bridge,accounting_core
realized_gain_to_net_income_ratio,29,29,0.0008910654308287895,1.0,6,ridge_bridge,accounting_core
npw_growth_yoy,29,29,0.0007156000847979441,1.0,6,ridge_bridge,accounting_core
investment_book_yield,29,20,0.000890625913344683,0.6896551724137931,6,ridge_bridge,accounting_core
monthly_combined_ratio_delta,29,29,0.022376654741296527,1.0,6,elastic_net_bridge,accounting_core
underwriting_income_growth_yoy,29,28,0.009157747014197639,0.9655172413793104,6,elastic_net_bridge,accounting_core
realized_gain_to_net_income_ratio,29,27,0.01671009814764736,0.9310344827586207,6,elastic_net_bridge,accounting_core
buyback_yield,29,27,0.013001572938204479,0.9310344827586207,6,elastic_net_bridge,accounting_core
pgr_premium_to_surplus,29,26,0.0543938881029015,0.896551724137931,6,elastic_net_bridge,accounting_core
unrealized_gain_pct_equity,29,25,0.015830987692678267,0.8620689655172413,6,elastic_net_bridge,accounting_core
pif_growth_yoy,29,23,0.02020630726490728,0.7931034482758621,6,elastic_net_bridge,accounting_core
npw_growth_yoy,29,22,0.007422696927813813,0.7586206896551724,6,elastic_net_bridge,accounting_core
investment_book_yield,29,20,0.013818138997044281,0.6896551724137931,6,elastic_net_bridge,accounting_core
combined_ratio_ttm,29,16,0.019850279899492503,0.5517241379310345,6,elastic_net_bridge,accounting_core
underwriting_margin_ttm,29,12,0.011850393534291848,0.41379310344827586,6,elastic_net_bridge,accounting_core
premium_to_surplus_x_cr_delta,29,29,0.0015776857969571707,1.0,6,ridge_bridge,logical_interactions
unrealized_gain_x_real_rate,29,29,0.0009237551932934786,1.0,6,ridge_bridge,logical_interactions
buyback_yield_x_bvps_growth_3m,29,29,0.0008503623417790024,1.0,6,ridge_bridge,logical_interactions
buyback_yield_x_pb_ratio,29,29,0.0007953598874582882,1.0,6,ridge_bridge,logical_interactions
premium_growth_x_underwriting_margin,29,29,0.0007401421401268773,1.0,6,ridge_bridge,logical_interactions
investment_yield_x_bvps,29,20,0.002059290884766246,0.6896551724137931,6,ridge_bridge,logical_interactions
premium_to_surplus_x_cr_delta,29,29,0.02884149927457542,1.0,6,elastic_net_bridge,logical_interactions
buyback_yield_x_bvps_growth_3m,29,29,0.01503406743159589,1.0,6,elastic_net_bridge,logical_interactions
unrealized_gain_x_real_rate,29,28,0.018419051508173558,0.9655172413793104,6,elastic_net_bridge,logical_interactions
premium_growth_x_underwriting_margin,29,26,0.00781798014699483,0.896551724137931,6,elastic_net_bridge,logical_interactions
buyback_yield_x_pb_ratio,29,26,0.00745957950915696,0.896551724137931,6,elastic_net_bridge,logical_interactions
investment_yield_x_bvps,29,16,0.03254784884836095,0.5517241379310345,6,elastic_net_bridge,logical_interactions
current_bvps,29,29,0.0021435562490824483,1.0,6,ridge_bridge,bridge_combined
pgr_premium_to_surplus,29,29,0.001425514029340116,1.0,6,ridge_bridge,bridge_combined
month_of_year,29,29,0.00139184351725076,1.0,6,ridge_bridge,bridge_combined
premium_to_surplus_x_cr_delta,29,29,0.0013874959816939753,1.0,6,ridge_bridge,bridge_combined
monthly_combined_ratio_delta,29,29,0.0012912188991835178,1.0,6,ridge_bridge,bridge_combined
pif_growth_yoy,29,29,0.0012518104126513895,1.0,6,ridge_bridge,bridge_combined
bvps_growth_ytd,29,29,0.0012458643060239364,1.0,6,ridge_bridge,bridge_combined
bvps_growth_6m,29,29,0.0012196224493622523,1.0,6,ridge_bridge,bridge_combined
combined_ratio_ttm,29,29,0.0009326218806031211,1.0,6,ridge_bridge,bridge_combined
bvps_growth_3m,29,29,0.0009248794727062105,1.0,6,ridge_bridge,bridge_combined
buyback_yield,29,29,0.0009159812837094146,1.0,6,ridge_bridge,bridge_combined
underwriting_margin_ttm,29,29,0.0009061855272359244,1.0,6,ridge_bridge,bridge_combined
q4_flag,29,29,0.0009057508509889577,1.0,6,ridge_bridge,bridge_combined
underwriting_income_growth_yoy,29,29,0.0008971644985534767,1.0,6,ridge_bridge,bridge_combined
bvps_yoy_dollar_change,29,29,0.0008638856477759053,1.0,6,ridge_bridge,bridge_combined
unrealized_gain_pct_equity,29,29,0.0008634017318698139,1.0,6,ridge_bridge,bridge_combined
realized_gain_to_net_income_ratio,29,29,0.0008509299169401008,1.0,6,ridge_bridge,bridge_combined
unrealized_gain_x_real_rate,29,29,0.0008474882714676955,1.0,6,ridge_bridge,bridge_combined
dividend_season_flag,29,29,0.0007751753891761177,1.0,6,ridge_bridge,bridge_combined
